beneficiary_id,ration_card_id,head_of_household,household_size,scheme_type,entitlement_kg,rice_entitlement_kg,wheat_entitlement_kg,current_fps_id,district,taluk,latitude,longitude,registered_mobile,status,created_at
BEN-000001,RC2023100000,Sneha Samra,7,AAY,35,22,13,FPS-0244,BENGALURU_URBAN,BEN-Taluk-2,12.754197,77.799258,9000060000,ACTIVE,2022-09-01
BEN-000002,RC2024100001,Raagini Seth,6,PHH,30,19,11,FPS-0109,TUMAKURU,TUM-Taluk-1,13.679057,76.779156,9000060997,ACTIVE,2023-02-14
BEN-000003,RC2025100002,Peter Halder,5,PHH,25,15,10,FPS-0249,SHIVAMOGGA,SHI-Taluk-4,13.737919,75.642363,9000061994,ACTIVE,2024-01-12
BEN-000004,RC2023100003,Ekbal Salvi,3,PHH,15,9,6,FPS-0343,SHIVAMOGGA,SHI-Taluk-1,13.537229,75.88164,9000062991,ACTIVE,2024-03-02
BEN-000005,RC2024100004,Chaitanya Halder,5,PHH,25,15,10,FPS-0054,MANDYA,MAN-Taluk-4,12.594458,76.701521,9000063988,ACTIVE,2022-01-23
BEN-000006,RC2025100005,Aarav Munshi,4,PHH,20,11,9,FPS-0202,MYSURU,MYS-Taluk-4,12.008164,76.582667,9000064985,MIGRATED,2022-05-26
BEN-000007,RC2023100006,Yasti Sridhar,2,PHH,10,6,4,FPS-0403,TUMAKURU,TUM-Taluk-4,13.309499,76.908193,9000065982,ACTIVE,2022-02-18
BEN-000008,RC2024100007,Darpan Das,1,PHH,5,3,2,FPS-0029,MANDYA,MAN-Taluk-2,12.58475,76.906471,9000066979,ACTIVE,2023-09-24
BEN-000009,RC2025100008,Jagrati Kala,3,PHH,15,9,6,FPS-0093,SHIVAMOGGA,SHI-Taluk-1,13.756765,75.893911,9000067976,ACTIVE,2022-11-07
BEN-000010,RC2023100009,Mekhala Mital,6,PHH,30,18,12,FPS-0032,BENGALURU_URBAN,BEN-Taluk-1,12.566415,77.698482,9000068973,MIGRATED,2024-04-14
BEN-000011,RC2024100010,Lohit Lad,5,PHH,25,15,10,FPS-0535,MANDYA,MAN-Taluk-1,12.909778,77.111151,9000069970,ACTIVE,2022-06-26
BEN-000012,RC2025100011,Samar Kapoor,4,PHH,20,13,7,FPS-0486,HASSAN,HAS-Taluk-3,12.768269,76.235876,9000070967,ACTIVE,2023-07-20
BEN-000013,RC2023100012,Aditya Korpal,1,PHH,5,3,2,FPS-0562,SHIVAMOGGA,SHI-Taluk-1,13.823252,75.508894,9000071964,ACTIVE,2023-07-02
BEN-000014,RC2024100013,Anamika Tella,4,AAY,35,22,13,FPS-0309,TUMAKURU,TUM-Taluk-4,13.5973,77.106764,9000072961,MIGRATED,2022-08-06
BEN-000015,RC2025100014,Wahab Patla,1,PHH,5,3,2,FPS-0436,HASSAN,HAS-Taluk-2,12.870221,76.18523,9000073958,ACTIVE,2023-04-09
BEN-000016,RC2023100015,Kevin Venkatesh,5,PHH,25,14,11,FPS-0228,TUMAKURU,TUM-Taluk-2,13.520595,76.965672,9000074955,ACTIVE,2023-10-10
BEN-000017,RC2024100016,Wridesh Bava,6,PHH,30,19,11,FPS-0084,TUMAKURU,TUM-Taluk-4,13.663109,77.044776,9000075952,MIGRATED,2023-03-26
BEN-000018,RC2025100017,Isaiah Chopra,4,PHH,20,11,9,FPS-0160,MANDYA,MAN-Taluk-2,12.730919,76.974157,9000076949,ACTIVE,2023-11-24
BEN-000019,RC2023100018,Aashi Ganguly,6,AAY,35,20,15,FPS-0025,BENGALURU_URBAN,BEN-Taluk-4,13.000486,77.698335,9000077946,MIGRATED,2023-09-20
BEN-000020,RC2024100019,Raghav Chopra,3,PHH,15,9,6,FPS-0159,TUMAKURU,TUM-Taluk-3,13.621144,76.821684,9000078943,MIGRATED,2023-10-17
BEN-000021,RC2025100020,Chakrika Tak,5,PHH,25,14,11,FPS-0264,MYSURU,MYS-Taluk-3,12.194037,76.786601,9000079940,ACTIVE,2023-04-03
BEN-000022,RC2023100021,Ranveer Vasa,4,AAY,35,21,14,FPS-0059,TUMAKURU,TUM-Taluk-4,13.668399,76.994936,9000080937,ACTIVE,2022-03-24
BEN-000023,RC2024100022,Sachi Chahal,3,PHH,15,10,5,FPS-0555,HASSAN,HAS-Taluk-4,13.163989,76.346207,9000081934,MIGRATED,2023-04-08
BEN-000024,RC2025100023,Isha Rao,4,AAY,35,20,15,FPS-0570,MYSURU,MYS-Taluk-3,12.170634,76.408518,9000082931,MIGRATED,2022-03-18
BEN-000025,RC2023100024,Darika Gola,3,PHH,15,9,6,FPS-0298,HASSAN,HAS-Taluk-3,12.834602,76.025671,9000083928,ACTIVE,2024-03-08
BEN-000026,RC2024100025,Kritika Krish,1,PHH,5,3,2,FPS-0593,SHIVAMOGGA,SHI-Taluk-4,13.637014,75.809915,9000084925,ACTIVE,2023-11-05
BEN-000027,RC2025100026,Aadhya Bhatnagar,7,AAY,35,22,13,FPS-0491,MANDYA,MAN-Taluk-1,12.554198,76.468532,9000085922,ACTIVE,2024-04-24
BEN-000028,RC2023100027,Aadi Thaker,3,AAY,35,21,14,FPS-0523,HASSAN,HAS-Taluk-2,12.852251,75.966181,9000086919,ACTIVE,2022-08-28
BEN-000029,RC2024100028,Chaitanya Bhalla,3,PHH,15,8,7,FPS-0280,HASSAN,HAS-Taluk-2,13.347449,76.21761,9000087916,ACTIVE,2023-12-12
BEN-000030,RC2025100029,Mitesh Doshi,3,PHH,15,9,6,FPS-0536,HASSAN,HAS-Taluk-3,12.609313,76.181892,9000088913,ACTIVE,2023-12-13
BEN-000031,RC2023100030,Ladli Basu,3,PHH,15,9,6,FPS-0504,MANDYA,MAN-Taluk-4,12.58907,76.890885,9000089910,ACTIVE,2022-05-10
BEN-000032,RC2024100031,Geetika Rao,4,AAY,35,21,14,FPS-0020,MYSURU,MYS-Taluk-3,12.332585,76.398284,9000050907,ACTIVE,2024-05-24
BEN-000033,RC2025100032,Faqid Peri,2,PHH,10,6,4,FPS-0571,TUMAKURU,TUM-Taluk-4,13.444477,76.975938,9000051904,ACTIVE,2024-05-30
