officer_id,employee_code,name,role,district,phone,status
OFF-00001,EMP202100001,Balhaar Halder,DISTRICT_OFFICER,MYSURU,9000050997,ACTIVE
OFF-00002,EMP202200002,Chakradev Dugar,DISTRICT_OFFICER,TUMAKURU,9000051994,ACTIVE
OFF-00003,EMP202300003,Ikshita Guha,DISTRICT_OFFICER,MANDYA,9000052991,ACTIVE
OFF-00004,EMP202400004,Eta Bobal,DISTRICT_OFFICER,HASSAN,9000053988,ACTIVE
OFF-00005,EMP202500005,Bhavini Boase,DISTRICT_OFFICER,SHIVAMOGGA,9000054985,ACTIVE
OFF-00006,EMP202000006,Rushil Bala,DISTRICT_OFFICER,BENGALURU_URBAN,9000055982,ACTIVE
OFF-00007,EMP202100007,Panini Mangal,FIELD_FOOD_INSPECTOR,MYSURU,9000056979,ACTIVE
OFF-00008,EMP202200008,Yashodhara Dass,FIELD_FOOD_INSPECTOR,TUMAKURU,9000057976,ACTIVE
OFF-00009,EMP202300009,Radha Bhalla,FIELD_FOOD_INSPECTOR,MANDYA,9000058973,ACTIVE
OFF-00010,EMP202400010,Raghav Samra,FIELD_FOOD_INSPECTOR,HASSAN,9000059970,ACTIVE
OFF-00011,EMP202500011,Samar Goswami,FIELD_FOOD_INSPECTOR,SHIVAMOGGA,9000060967,ACTIVE
OFF-00012,EMP202000012,David Devi,FIELD_FOOD_INSPECTOR,BENGALURU_URBAN,9000061964,ACTIVE
OFF-00013,EMP202100013,Meghana Raja,FIELD_FOOD_INSPECTOR,MYSURU,9000062961,ACTIVE
OFF-00014,EMP202200014,Reyansh Hari,FIELD_FOOD_INSPECTOR,TUMAKURU,9000063958,ACTIVE
OFF-00015,EMP202300015,Sachi Dasgupta,FIELD_FOOD_INSPECTOR,MANDYA,9000064955,ACTIVE
OFF-00016,EMP202400016,Chakradev Sodhi,FIELD_FOOD_INSPECTOR,HASSAN,9000065952,ACTIVE
OFF-00017,EMP202500017,Raghav Roy,FIELD_FOOD_INSPECTOR,SHIVAMOGGA,9000066949,ACTIVE
OFF-00018,EMP202000018,Balvan Goyal,FIELD_FOOD_INSPECTOR,BENGALURU_URBAN,9000067946,ACTIVE
OFF-00019,EMP202100019,Lavanya Anand,FIELD_FOOD_INSPECTOR,MYSURU,9000068943,ACTIVE
OFF-00020,EMP202200020,Jonathan Setty,FIELD_FOOD_INSPECTOR,TUMAKURU,9000069940,ACTIVE
OFF-00021,EMP202300021,Nakul Ram,FIELD_FOOD_INSPECTOR,MANDYA,9000070937,ACTIVE
OFF-00022,EMP202400022,Pratyush Dara,FIELD_FOOD_INSPECTOR,HASSAN,9000071934,ACTIVE
OFF-00023,EMP202500023,Nakul Vig,FIELD_FOOD_INSPECTOR,SHIVAMOGGA,9000072931,ACTIVE
OFF-00024,EMP202000024,Aishani Rajagopal,FIELD_FOOD_INSPECTOR,BENGALURU_URBAN,9000073928,ACTIVE
OFF-00025,EMP202100025,Max Bahri,FIELD_FOOD_INSPECTOR,MYSURU,9000074925,ACTIVE
OFF-00026,EMP202200026,Udarsh Anne,FIELD_FOOD_INSPECTOR,TUMAKURU,9000075922,ACTIVE
OFF-00027,EMP202300027,Ijaya Choudhury,FIELD_FOOD_INSPECTOR,MANDYA,9000076919,ACTIVE
OFF-00028,EMP202400028,Aradhana Setty,FIELD_FOOD_INSPECTOR,HASSAN,9000077916,ACTIVE
OFF-00029,EMP202500029,Aishani Borde,FIELD_FOOD_INSPECTOR,SHIVAMOGGA,9000078913,ACTIVE
OFF-00030,EMP202000030,Ikbal Sekhon,FIELD_FOOD_INSPECTOR,BENGALURU_URBAN,9000079910,ACTIVE
OFF-00031,EMP202100031,Vedhika Deep,FIELD_FOOD_INSPECTOR,MYSURU,9000080907,ACTIVE
OFF-00032,EMP202200032,Bhavani Handa,FIELD_FOOD_INSPECTOR,TUMAKURU,9000081904,ACTIVE
OFF-00033,EMP202300033,Abha Bhagat,FIELD_FOOD_INSPECTOR,MANDYA,9000082901,ACTIVE
OFF-00034,EMP202400034,Onkar Tripathi,FIELD_FOOD_INSPECTOR,HASSAN,9000083898,ACTIVE
OFF-00035,EMP202500035,Vanya Naik,FIELD_FOOD_INSPECTOR,SHIVAMOGGA,9000084895,ACTIVE
OFF-00036,EMP202000036,Chatura Comar,FIELD_FOOD_INSPECTOR,BENGALURU_URBAN,9000085892,ACTIVE
OFF-00037,EMP202100037,Laksh Yohannan,FIELD_FOOD_INSPECTOR,MYSURU,9000086889,ACTIVE
OFF-00038,EMP202200038,Simon Loyal,FIELD_FOOD_INSPECTOR,TUMAKURU,9000087886,ACTIVE
OFF-00039,EMP202300039,Chatresh Rai,FIELD_FOOD_INSPECTOR,MANDYA,9000088883,ACTIVE
OFF-00040,EMP202400040,Dayamai Seshadri,FIELD_FOOD_INSPECTOR,HASSAN,9000089880,ACTIVE
OFF-00041,EMP202500041,Aadi Kothari,FIELD_FOOD_INSPECTOR,SHIVAMOGGA,9000050877,ACTIVE
OFF-00042,EMP202000042,Keya Bhat,FIELD_FOOD_INSPECTOR,BENGALURU_URBAN,9000051874,ACTIVE
OFF-00043,EMP202100043,Shivani Hora,FIELD_FOOD_INSPECTOR,MYSURU,9000052871,ACTIVE
OFF-00044,EMP202200044,Ridhi Mukhopadhyay,FIELD_FOOD_INSPECTOR,TUMAKURU,9000053868,ACTIVE
OFF-00045,EMP202300045,Qasim Tank,FIELD_FOOD_INSPECTOR,MANDYA,9000054865,ACTIVE
OFF-00046,EMP202400046,Hema Rajagopalan,FIELD_FOOD_INSPECTOR,HASSAN,9000055862,ACTIVE
OFF-00047,EMP202500047,Frederick Ganesh,FIELD_FOOD_INSPECTOR,SHIVAMOGGA,9000056859,ACTIVE
OFF-00048,EMP202000048,Leena Toor,FIELD_FOOD_INSPECTOR,BENGALURU_URBAN,9000057856,ACTIVE
OFF-00049,EMP202100049,Isha Manda,FIELD_FOOD_INSPECTOR,MYSURU,9000058853,ACTIVE
OFF-00050,EMP202200050,Oviya Shah,FIELD_FOOD_INSPECTOR,TUMAKURU,9000059850,ACTIVE
OFF-00051,EMP202300051,Umang Khare,FIELD_FOOD_INSPECTOR,MANDYA,9000060847,ACTIVE
OFF-00052,EMP202400052,Yashodhara Wali,FIELD_FOOD_INSPECTOR,HASSAN,9000061844,ACTIVE
OFF-00053,EMP202500053,Yadavi Bath,FIELD_FOOD_INSPECTOR,SHIVAMOGGA,9000062841,ACTIVE
OFF-00054,EMP202000054,Alexander Cherian,FIELD_FOOD_INSPECTOR,BENGALURU_URBAN,9000063838,ACTIVE
OFF-00055,EMP202100055,Chandani Doshi,FIELD_FOOD_INSPECTOR,MYSURU,9000064835,ACTIVE
OFF-00056,EMP202200056,Yauvani Goda,FIELD_FOOD_INSPECTOR,TUMAKURU,9000065832,ACTIVE
OFF-00057,EMP202300057,Nathan Maharaj,FIELD_FOOD_INSPECTOR,MANDYA,9000066829,ACTIVE
OFF-00058,EMP202400058,Harini Barad,FIELD_FOOD_INSPECTOR,HASSAN,9000067826,ACTIVE
OFF-00059,EMP202500059,Aditya Mohan,FIELD_FOOD_INSPECTOR,SHIVAMOGGA,9000068823,ACTIVE
OFF-00060,EMP202000060,Leena Rattan,FIELD_FOOD_INSPECTOR,BENGALURU_URBAN,9000069820,ACTIVE
OFF-00061,EMP202100061,Tanvi Sahota,FIELD_FOOD_INSPECTOR,MYSURU,9000070817,ACTIVE
OFF-00062,EMP202200062,Ansh Mandal,FIELD_FOOD_INSPECTOR,TUMAKURU,9000071814,ACTIVE
OFF-00063,EMP202300063,Amara Ranganathan,FIELD_FOOD_INSPECTOR,MANDYA,9000072811,ACTIVE
OFF-00064,EMP202400064,Nirja Bir,FIELD_FOOD_INSPECTOR,HASSAN,9000073808,ACTIVE
OFF-00065,EMP202500065,Amol Goel,FIELD_FOOD_INSPECTOR,SHIVAMOGGA,9000074805,ACTIVE
OFF-00066,EMP202000066,Urmi Pingle,FIELD_FOOD_INSPECTOR,BENGALURU_URBAN,9000075802,ACTIVE
OFF-00667,EMP202100667,Vyanjana Pal,ADMIN,BENGALURU_URBAN,9000074999,ACTIVE
OFF-00668,EMP202200668,Sai Shan,ADMIN,BENGALURU_URBAN,9000075996,ACTIVE
OFF-00669,EMP202300669,Wridesh Sule,AUDITOR,MANDYA,9000076993,ACTIVE
OFF-00670,EMP202400670,Jagvi Warrior,AUDITOR,HASSAN,9000077990,ACTIVE
